table,project,link,sponsors
1,CoreML Image Detection,https://ubhacking2018.devpost.com/submissions/105166-coreml-image-detection,
2,Applied,https://ubhacking2018.devpost.com/submissions/105179-applied,Best use of Google Cloud Platform
3,Battlebot Collision Avoidance Algorithm,https://ubhacking2018.devpost.com/submissions/105183-battlebot-collision-avoidance-algorithm,
4,QuickPic,https://ubhacking2018.devpost.com/submissions/105184-quickpic,Best use of Google Cloud Platform
5,Mom Assistant,https://ubhacking2018.devpost.com/submissions/105188-mom-assistant, M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, ValueCentric - Best Health/Lifestyle Hack, Fidelis Care - Best Hack in Healthcare, Twilio - Best Use of Twilio API, Facebook - Best Hack that aligns with Facebook’s mission, Best Domain Name from Domain.com, [Weekly Challenge] Best Social Good Hack from Fidelity
6,Health Insurance Price Predictor,https://ubhacking2018.devpost.com/submissions/105212-health-insurance-price-predictor,Fidelis Care - Best Hack in Healthcare
7,Whats for dinner?,https://ubhacking2018.devpost.com/submissions/105223-whats-for-dinner,Wegmans - Best Use of the Wegmans API
8,Accessible Memes,https://ubhacking2018.devpost.com/submissions/105278-accessible-memes,"[Weekly Challenge] Best Social Good Hack from Fidelity, ValueCentric - Best Health/Lifestyle Hack, Facebook - Best Hack that aligns with Facebook’s mission, Fidelis Care - Best Hack in Healthcare, M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, Lead-a-Newbie Prize"
9,Wegmans Game,https://ubhacking2018.devpost.com/submissions/105306-wegmans-game,Wegmans - Best Use of the Wegmans API
10,Project-4D,https://ubhacking2018.devpost.com/submissions/105328-project-4d,
11,Townvisor,https://ubhacking2018.devpost.com/submissions/105339-townvisor,Facebook - Best Hack that aligns with Facebook’s mission
12,Ambrosia,https://ubhacking2018.devpost.com/submissions/105346-ambrosia,"ValueCentric - Best Health/Lifestyle Hack, Best Freshman Hack, M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, Wegmans - Best Use of the Wegmans API"
13,onlinecompiler,https://ubhacking2018.devpost.com/submissions/105363-onlinecompiler,"[Weekly Challenge] Snap Kit Weekly Challenge, [Weekly Challenge] Best Social Good Hack from Fidelity, Facebook - Best Hack that aligns with Facebook’s mission"
14,Digital Cooking Assistant,https://ubhacking2018.devpost.com/submissions/105364-digital-cooking-assistant,"Twilio - Best Use of Twilio API, ValueCentric - Best Health/Lifestyle Hack, M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, Best use of Google Cloud Platform, Wegmans - Best Use of the Wegmans API"
